title,company,rating,location,salary,summary
"Advanced Data Scientist, NLP",Honeywell,3.7,"Atlanta, GA 30308 (Midtown area)",,"To succeed in this role, you should possess outstanding skills in statistical analysis, machine learning methods and text representation techniques."
SOFTWARE DEVELOPER/DATA SCIENTIST,University of Washington,4.1,"Seattle, WA",,"The data scientist will work with the team to research existing tools (specifically Entrofy selection method workflows), interview community members (as part of…"
Data Scientist,"LS Technologies, LLC",3.9,"Atlantic City, NJ",,"Data processing / wrangling (clustering/classification, data mining, summarization).
Participates in all aspects of the data science pipeline:"
Data Scientist,Fetch Rewards,2.7,Illinois,,You will create analytical solutions and machine learning models that help Fetch teams leverage and monetize actionable insights from our unique data.
Data Analyst - Tech Consulting Senior,Ernst & Young,4.0,United States,,"EY delivers unparalleled service in digital analytics, built on a blend of custom-developed methods related to customer analytics, data visualization, and…"
Data Scientist,Tetra Tech,3.8,"Madison, WI",,"Tetra Tech is looking for a senior data scientist with knowledge and experience in developing machine learning algorithms, particularly in forecasting with data…"
Data Scientist,US Department of Defense,4.2,"Arnold, MO","$64,948 - $113,465 a year","Other duties may include: * Develop and apply quantitative and qualitative analytic methods to identify, collect, process, and analyze large data sets for…"
Sr Data Scientist,PennyMac,3.1,"Phoenix, AZ",,"Minimum 2 years of experience in data mining, machine learning, neural networks or other data science technique.
Combined models through ensemble modeling."
Data Science Intern,Galvanize Inc.,3.9,"Denver, CO 80202 (Highland area)","$62,400 a year","With that mentor, you will go through a set period of training where you will learn new skills in data analytics and data science."
Data Scientist BANOVA,"Davis Unlimited Information Technologies, Inc. (DU...",,"Reston, VA",,"Work on a platform that will make data available for query, manipulation, and allow analytics on co-mingled data sets at scale."
Senior Data Scientist,McKesson Corporation,3.6,"Dallas, TX",,"Use data science techniques and analysis to understand market trends, process gaps, strategic synergies and provide actionable plans to leverage insights."
Data Scientist,Burlington Stores,3.4,"Edgewater Park, NJ 08010",,"5+ years practical experience with SAS, ETL, data processing, database programming and data analytics.
Able to understand various data structures and common…"
Data Scientist - Risk,SoFi,3.2,"San Francisco, CA",,"The Data Scientist will work closely with Risk, Engineering, and Operations teams to design solutions to prevent fraudulent behavior, ranging from complex…"
Chief Data Scientist,"New Mexico Children, Youth and Families Department",2.0,"Santa Fe, NM 87501","$61,673 - $107,311 a year","Present trends and patterns to executive leadership using data visualization techniques.
It will integrate the three separate data units currently functioning…"
Data Scientist,Techwave Consulting Inc.,,"Houston, TX 77077",,"The role will create solutions to business challenges through the use of advanced statistical analysis, data mining, and data visualization techniques."
Senior Data Scientist,Kinship,4.6,"Portland, OR",,"Improve and extend machine learning models that predict a dog's behavior from sensor-based time-series data.
Contribute to the creation, deployment, and scaling…"
Data Scientist,iCube Consulting Services,,United States,,Working on a variety of advanced analytics projects with good understanding of the different stages of an analytics project.
Senior Data Scientist - Work at Home,Lumen,3.5,Remote,,"Employs techniques and theories drawn from mathematics, statistics, from the subdomains of machine learning, classification, cluster analysis, and data mining."
Senior Data Scientist,Pluralsight,4.3,"Draper, UT",,"You’ll work closely with an established team of top-notch, collaborative data scientists and you will collaborate with a cross-functional product team that is…"
Marketing Data Scientist – Customer Analytics,Adobe,4.3,"San Francisco, CA",,"Define and own the next-generation analytics stacks focused on identifying deeper customer insights and opportunities in acquisition, engagement and retention."
"Scientist 2, Data Analytics",Areté,4.0,"Northridge, CA",,"Experience in any of the following areas: machine learning, including artificial intelligence and deep learning; data analysis, statistical signal processing,…"
,USAA,3.9,"Macdona, TX 78054",,"Applies predictive analytics, machine learning, simulation, and optimization techniques to generate management insights and enable customer-facing applications;…"
Data Scientist,Vaco,3.7,"Nashville, TN","$130,000 a year",The role will work with other Data Scientists and Analysts to create predictive and regression models.
Data Scientist,Peterson Technology Partners,4.0,"Milwaukee, WI",$45 - $75 an hour,"Skilled data scientist with machine learning, image analysis, statistical analysis experience.
Machine Learning: 3 years (Required)."
"Data Scientist II/III, Drug Safety",Boehringer Ingelheim,4.1,"Ridgefield, CT",,The Data Scientist II/III will research into innovative scientific approaches to enhancing understanding of therapeutic target safety liabilities and proposing…
Senior Data Scientist - Service Operations (Work At Home),Cigna,3.7,"Hartford, CT 06152 (Frog Hollow area)",,"As a Data Scientist in SOBI&A you will work closely with other team members and business stakeholders to apply machine learning, deep learning, NLP and other…"
NLP Research Scientist / Engineer (WeCNLP 2020),Apple,4.2,"Santa Clara Valley, CA 95014",,"As a member of a machine learning team at Apple, you will use your deep understanding of natural language processing, machine learning, and artificial…"
Data Scientist,Nutrisystem,2.8,"Fort Washington, PA 19034","$95,000 - $125,000 a year","Minimum 5 years of experience with progressively more complex data science, applied statistics, and machine learning projects.
Temporarily due to COVID-19."
Senior Data Scientist,Plymouth Rock Assurance,3.8,"Woodbridge, NJ 07095",,"Advanced skills and training in predictive modeling, data mining and other quantitative and research analytics (Non-Linear Regression Analysis, Multivariate…"
Data Scientist,"Sandhills Global, Inc.",3.4,"Lincoln, NE",,"Qualifications: Bachelors or Masters Degree in Statistics or Mathematics preferred or any other quantitative discipline, knowledge of the products and customers…"
Data Scientist 1,PayPal,3.9,"San Jose, CA 95131 (North San Jose area)",,"Responsibilities include: • Design, develop and manage real-time end-to-end buyer risk decisioning strategies while balancing customer experience, risks and…"
Data Science Engineer I,Centene Corporation,3.3,"Charlotte, NC 28262 (University City North area)",,"Coach and train data scientists on best practices for predictive model deployment.
Experience writing or maintaining open source software, deploying code for…"
Research Scientist - Data Science,USC,4.2,"Marina del Rey, CA",,"Experience with data science in diverse scientific domains.
Analyzes and evaluates research data utilizing computers and provides interpretations requiring…"
Research Intern: Natural Language Processing/Machine Learnin...,"Native Agtech, Inc.",,"Cincinnati, OH",$20 - $25 an hour,"Experienced with the development of enterprise level AI, machine learning and deep learning platform involving big data management and GPU compute."
Product Data Scientist,Snapchat,3.5,"Los Angeles, CA 90291 (Venice area)",,"Build best data analytics practices to drive and influence company data culture.
Able to communicate product insights and experiment results to product teams…"
Data Scientist OR Senior Data Scientist,Foursquare,4.3,"Seattle, WA",,"4+ years of work or educational experience in data science, machine learning, applied statistics, and/or applied mathematics."
Data Scientist - Construction Operations,Tesla,3.5,"Fremont, CA",,"3+ years of work experience in data analytics, data engineering, data science, machine learning or related fields.
Tesla participates in the E-Verify Program."
Data Scientist,IDT Corporation,3.6,"Newark, NJ 07102 (Central Business District area)",,"Experience with data engineering including pulling data from databases in SQL, automating processes, and pushing data to databases or application environments."
Data Scientist,Infinia ML,,"Durham, NC 27703",,"3+ years experience in machine learning, data science, data engineering, and/or computational software development."
Staff Data Scientist,realtor.com,3.5,"Santa Clara, CA",,"Mentor a team of data scientists on data exploration, machine learning and developing data-oriented products.
Develop predictive, explanatory models and machine…"
Data Scientist,SFL Scientific,,"Boston, MA",,"As a data science consultant, you will be focused on developing and deploying image processing, machine learning or deep learning solutions that will have…"
,Biomerieux,3.8,"St. Louis, MO",,"Understanding and willingness to self-learn the technologies used in this domain to be up-to-date with the latest developments in data analytics, imaging and…"
Associate Data Scientist (m/f/x),IBM,3.9,Delaware,,Als Data Scientist arbeitest Du mit Kunden aus unterschiedlichen Industriesegmenten und bist verantwortlich für die Definition und Bewertung von Data Science…
Chief Data Scientist,"HR, Legal, & Administration",,"Sartell, MN 56377",,"Interface with the Business Intelligence team to produce the data required for machine learning activities.
Expert in machine learning methodologies (regression…"
Senior Data Analyst,GrowFlow,,Washington State,"$60,000 - $85,000 a year","Bachelor's degree and 4+ years relevant computer sciences and/or data science and/or data & business analysis, preferably in B2B SaaS space with quantifiable…"
Data Scientist,ConcertAI,,"New York, NY",,"You will assist the client delivery team with insights, dashboards, and ad-hoc analytics.
Run a variety of analytics from data QA to complex models."
Data Scientist,Beyond Limits,3.4,"Glendale, CA",,"Scope unstructured problems or messy data for tractable insights.
Identify candidate statistical or machine learning solutions and test their efficacy."
Data Scientist,Gayathri's Sandbox,,"Menlo Park, CA",,Experiment engineers will be expected to help define and develop our core software for designing and deploying advanced experiments.
Data Scientist,Gradient AI,,"Boston, MA 02210 (South Boston area)",,"Synthesize research data, turning data to actionable insights, and specific model requirements.
This hire will help define how our claims and underwriting…"
Data Scientist (Machine Learning) Lead,Simplex Info Systems Inc,,"Alpharetta, GA","$105,000 - $110,000 a year","They conduct data mining and retrieval, and apply statistical and mathematical analyses to identify trends, solve analytical problems, optimize performance, and…"
Data Scientist,Change Healthcare,3.0,"Seattle, WA",,"You will enjoy working with a highly talented and diverse team of data scientists specializing in deep learning, active learning, and classical machine learning…"
Data Scientist,Chewy,2.7,"Fort Lauderdale, FL 33316 (Poinciana Park area)",,"Combining a background in Supply Chain with a deep understanding of analytics and data science, you will be a part of a team responsible for strategic planning…"
Data Scientist,Servpro Industries,3.3,"Gallatin, TN",,"Our data scientists leverage modern statistical and geospatial processing tools in SQL, Python, and Tableau to build scalable infrastructure that drives key…"
Lead Data Scientist,HERE Technologies,3.9,"Chicago, IL 60606 (West Loop Gate area)",,"Participate in project reviews and demos.
HERE’s autonomous driving group is a team of engineers, architects, designers and inventors that create highly…"
Data Scientist,American Chemical Society,4.0,"Columbus, OH 43202 (Clintonville area)",,"Data scientists are skilled in putting well-defined parameters around potentially ambiguous problems, evaluating success based on business-important criteria,…"
Data Scientist,Cerner Corporation,3.5,"Kansas City, MO",,At least 3 years of work experience machine learning methods and the principals of visually encoding data work experience.
Senior Marketing Data Scientist,National Funding,3.3,"San Diego, CA 92121 (University City area)",,"Builds recommendations by synthesizing data from multiple sources, developing assumptions where needed, to drive business insights and strategy development."
Data Science Analyst,Capital Group,3.9,"Los Angeles, CA 90071 (Downtown area)",,"You’ll help drive business value using internal and external data, predictive analytics and data science.
You’re proficient in data visualization tools like…"
Data Scientist - Marketing/Advertising Optimization,Blue Orange Digital,,"Washington, DC","$75,000 - $140,000 a year",You will be joining a highly talented team of engineers and data scientists working on implementing production machine learning models in the media space.
"Data Scientist, Healthcare (US)",CitiusTech,3.9,"San Francisco, CA",,"Implementing statistical and data mining techniques e.g. hypothesis testing, machine learning, and retrieval processes on a large amount of data to identify…"
Intern- Data Scientist,JDA Software,3.9,"Scottsdale, AZ",,"Experience with machine learning APIs and computational packages (Keras, Scikit-Learn, NumPy, SciPy, Pandas, statsmodels)."
Senior Data Scientist,UrbanFootprint,,Remote,,"We are hiring passionate and experienced data scientists to support data and model development, spatiotemporal modeling, machine learning and customer-driven…"
Data Scientist Intern,Elutions,,"Tampa, FL 33605 (Historic Ybor area)",,"Perform statistical data analysis and statistical modelling with high quality data handling techniques.
Selecting features, building and optimizing classifiers…"
Lead Data Scientist,Humana,3.7,"Boston, MA",,"Knowledge of healthcare claims, clinical programs and interventions, health outcomes, population health.
The ideal candidate will have experience conducting…"
Senior Data Scientist [Remote],TMP Worldwide,3.6,United States,,The TMP Products team is seeking a Sr. Data Scientist to support its efforts in building a leading performance media platform for recruitment…
Data Scientist,2nd Order Solutions,,"Glen Allen, VA 23060",,Ideal data scientists have a Bachelors or Masters in a quantitative field and several years of work experience in a relevant field.
Data Analyst/Statistician,State of Wyoming,3.7,"Cheyenne, WY",$23.38 - $30.13 an hour,"The position will create reports, summarize findings, provide statistical analysis, evaluate methods and procedures, and help to identify relationships and…"
Junior Data Scientist,Shared Services,3.9,"Vernon Hills, IL 60061",,"1 – 3 Years of Experience in data or analytics role (excluding internships).
Monitor and manage data flow for use in future analysis."
Statistician & Data Analysis Scientist,Corning,3.9,"Painted Post, NY 14870",,Work alongside scientists and project teams to design experiments to efficiently understand or optimize new systems and processes.
,Leidos,3.7,"McLean, VA 22102",,"Familiarity with relational data and quantitative analysis thereof.
Support the development of customer’s analytics code-base.
Top Secret/SCI with Polygraph."
"Data Scientist, Consultant",Guidehouse,3.4,"Atlanta, GA 30361 (Midtown area)",,"This high performing team works with clients to implement the full spectrum of data analytics and data science, from data querying and data wrangling, to data…"
Data Scientist II (Remote Work Location Available),USAA,3.9,"Macdona, TX 78054",,"Applies predictive analytics, machine learning, simulation, and optimization techniques to generate management insights and enable customer-facing applications;…"
Data Scientist,Airspace Technologies,3.9,"Carlsbad, CA 92010",,"Work closely with the analytics team, data engineers and backend engineers.
The ideal candidate would be a data scientist with savvy programming skills."
Data Scientist – Protein Sciences,Novartis,4.1,"Cambridge, MA",,"Mentor scientists who are developing their computational skills.
Engage in an interdisciplinary environment with structural biologists, biophysicists, protein…"
Senior Data Scientist,Humana,3.7,"Boston, MA 02210 (South Boston area)",,"Previously applied machine learning to help a firm reach objectives.
3-5 years of professional experience leveraging large sets of structured and unstructured…"
,Specific Diagnostics,,"Mountain View, CA 94043",,"The development of data-driven visualization tools for the explorative analysis of high-dimensional data.
Used for bloodstream infection Specific’s solution…"
Data Scientist II (Remote Work Location Available),USAA,3.9,"San Antonio, TX 78206 (King William area)",,"Applies predictive analytics, machine learning, simulation, and optimization techniques to generate management insights and enable customer-facing applications;…"
"Sr Consultant, Data Scientist",McKesson,3.6,"The Woodlands, TX",,"Experience in mining pharmacy system data, clinical data, claims and/or EMR data preferred.
Leverage rich data set within the data ecosystem to bring insights…"
RESEARCH DATA SUPERVISOR I,California Department of Social Services,4.2,"Sacramento, CA","$6,124 - $7,608 a month","The RDS I (supervisor) will guide team exploration of new quantitative methods and opportunities for using artificial intelligence, micro-simulations and…"
Data Scientist,Guardian Eagle,,"Boca Raton, FL",,"Experience in Healthcare, claims data, internal data.
Ability to work with unstructured data.
Experience with in depth analysis, working with business analytics…"
Sr Data Scientist,Natera,2.7,"Portland, OR",,"Drive rigorous data analysis effort and support group efforts toward high quality documentation.
Post-graduate experience in a data science or engineering role…"
Senior Data Scientist (Remote),Headspace,4.0,"Santa Monica, CA 90404 (Pico District area)",,"Identify opportunities to apply data science and machine learning towards unaddressed business problems, or to improve existing aspects our data science…"
Data Scientist,Aptive,3.5,"Washington, DC",,"Our employees receive competitive compensation, along with company-paid health care and short-term disability plans."
Data Scientist,General Dynamics Information Technology,3.8,"Macdill AFB, FL",,"Must be able to both manage and manipulate large data sets, develop data science approaches, and manage data science tasks."
data scientist,Qikspace,,"Seattle, WA 98104",,A talented data scientist with strong background in realtime big data solutions and contextual relevance frameworks.
Data Scientist / Machine Learning Engineer,INFISWIFT TECHNOLOGIES,,"Milpitas, CA",,Optimization of complex manufacturing assembly lines by doing Big Data processing and applying machine learning algorithms to analyze the performance from…
Data Scientist 4,Lam Research,3.7,"Fremont, CA 94538",,"Solid knowledge of artificial intelligence / deep learning concepts and various deep learning architectures as it applies to image segmentation, object…"
Lead Data Scientist,Humana,3.7,"Boston, MA 02210 (South Boston area)",,"Knowledge of healthcare claims, clinical programs and interventions, health outcomes, population health.
The ideal candidate will have experience conducting…"
Senior Data Scientist,VirginPulse,,"Providence, RI 02860",,Experience with clinical/medical data and work in employee health management/health engagement industry preferred.
,USAA,3.9,"San Antonio, TX 78206 (King William area)",,"Applies predictive analytics, machine learning, simulation, and optimization techniques to generate management insights and enable customer-facing applications;…"
Remote Lead Data Scientist - Epidemiologist,Aerotek,3.7,"Atlanta, GA 30303 (Five Points area)",,"10+ years of epidemiology, health care analytics, health research, or pharmaceutical industry analytic experience including but not limited to epidemiological…"
Data Scientist,Chubb,3.8,United States,,Data Scientist is a highly technical job that uses machine learning (including deep learning) to automate underwriting processes.
"Data Scientist, Teleflora",The Wonderful Company LLC,2.9,"Los Angeles, CA 90064",,"Strong presentation skills, with the ability to translate data into business insights.
We are looking for someone with strong eCommerce experience, someone who…"
Data Scientist,Victory,3.7,Texas,,"Significant experience in data mining, machine-learning and operations research.
Organize and present information using data visualization techniques."
"Data Scientist / Software Engineer, Planner",Waymo,3.1,"Mountain View, CA",,"Develop signals to describe the quality of our self driving car's behavior, using a range of techniques including machine learning, statistics, math, and…"
Software or Machine Learning Engineer - Entry Level,Apple,4.2,"Santa Clara Valley, CA 95014",,"Experience in machine learning, deep learning, search, natural language processing, data science, or computer vision.
Proficiency with C/C++/Java."
Applied Data Scientist,Techcyte,,United States,,"Writing clean, efficient, and scalable deep learning code for production.
Staying current with research in deep learning and image classification."
Senior Data Scientist,Softrams,3.0,"Woodlawn, MD",,"Ability to work in a team environment with business analysts, developers, subject matter experts and other data scientists to analyze business requirements and…"
Senior Data Scientist,University of New Mexico,4.1,"Albuquerque, NM 87106 (University Hts area)","$4,739 - $7,108 a month","Developing and monitoring implementation of strategic plans for data, analysis, and reporting by identifying, obtaining, and managing primary and secondary data…"
Data Scientist - Machine Learning,Plaid,3.8,"San Francisco, CA",,"We're looking for data scientists with experience applying state-of-the-art machine learning and modeling techniques - including natural language processing,…"
Technical Sourcer - Data Science & Engineering,Roblox,4.2,"San Mateo, CA",,The Talent Acquisition Team at Roblox is looking for a Technical Sourcer to proactively identify and assess top technical talent through strong partnerships…
"Data Scientist - Madrid, Spain",GDS Modellica,,"Madrid, IA",,"Experience in data mining, statistics and/or machine learning techniques.
Programming skills Python or/and R, experience with their respective data mining and…"
Data Scientist,"Servpro Industries, LLC",2.6,"Gallatin, TN",,"Our data scientists leverage modern statistical and geospatial processing tools in SQL, Python, and Tableau to build scalable infrastructure that drives key…"
Data Scientist,Ushur,,United States,,With an understanding of the Machine Learning trends be able to apply various techniques on the data analytics as.
Data Analyst,Revel,2.7,"Brooklyn, NY 11231",,"2-3 years experience working as a data scientist/data analyst.
Build deep knowledge of relevant internal and external data repositories."
Deep Learning/Computer Vision Scientist,"Aptonet, Inc",,"Atlanta, GA 30309 (Midtown area)",$60 - $80 an hour,"Minimum Level: 2-3; Preferred Level: 3+ years of relevant experience in computer vision, computer science, deep learning fields or proven qualifications."
Data Scientist-Decision Sciences,"JPMorgan Chase Bank, N.A.",3.9,"Jacksonville, FL",,"Create data models using best practices to ensure high data quality and reduced redundancy.
Strong understand of data structure and strong SQL and Python skills…"
"Data Scientist, Pricing",Sonder,3.5,"Dallas, TX",,"Experience working with Product and Engineering teams at high growth companies to solve problems, identify trends and opportunities, productionize…"
"Senior Marketing Data Scientist, Enterprise",Atlassian,4.6,"San Francisco, CA",,"2-3 years of experience in B2B marketing or sales analytics and experience working with a field sales team.
Experience collaborating with senior management and…"
Data Scientist - Security Analytics,DiDi Labs,,"Mountain View, CA 94043",,"Big data analytics based on extracted security data to prevent attacks and data leakage.
Follow modern data analytics technical stacks, including ML/AI, and…"
Data Scientist,Waymo,3.1,"Mountain View, CA",,"Collaborate with engineers and other data scientists to evaluate and improve core.
Experience with tools for manipulating big data."
Data Scientist,MetiStream,,"Vienna, VA 22182",,"Expertise in applied machine learning with Python or Scala.
Bachelor’s Degree and 4+ years of analytics experience or Master’s Degree in a quantitative…"
Data Scientist,Envision LLC,,"St. Louis, MO 63141","$110,000 a year","Utilize modern data science techniques to examine, explain, and interpret data sets, and to recognize and forecast trends, as well as conduct analytics…"
Sr Business Data Analyst,DHL | Supply Chain,3.7,"Livonia, MI 48152",,"Applies data visualization for discovery and timely insights to decrease Cycle Time to Action (CTA).
To apply knowledge and analytics to develop and communicate…"
Data Scientist Co-op,"Healthcare Financial, Inc.",,"Quincy, MA 02171",,"Responsible for modeling complex problems, discovering insights and identifying opportunities through the use of statistical, algorithmic, data mining and data…"
Data Scientist,Thermo Fisher Scientific,3.5,"South San Francisco, CA 94080",,"Organize and data mine clinical data to assess the performance of clinical tests.
Work closely with scientists and engineers with data analysis &…"
Data Scientist I / Data Scientist II / Data Scientist III,TUFTS University,4.1,"Medford, MA",,"Makes independent decisions as it relates to a specific scientific field and solves problems using standard principles, procedures, and techniques for their…"
Staff Data Scientist for Risk Based Authentication (Remote E...,Okta,3.8,New York State,,"Skilled in building data models and using machine learning algorithms for classification and regression.
We are looking for a Principal Level Data Scientist to…"
Statistician,"Psychology Software Tools, Inc",,"Sharpsburg, PA 15215",$24 - $30 an hour,Requires a minimum of a bachelor's degree in a related area and 6-8 years of experience in the field of statistics as related to methods in psychology or in a…
Data Scientist,Sabal Tech,,"Fort Lauderdale, FL 33301 (Colee Hammock area)",,"Ability to structure data for business use case visualizations.
5+ years hands-on experience with relevant technology.
AWS, GCP, Azure ecosystems or similar."
Senior Data Scientist - Credit Risk,Cleo AI,,"San Francisco, CA",,"Use machine learning to build credit underwriting models leveraging alternative and traditional data sources.
Use advanced machine learning algorithms including…"
Data Scientist I,Crowley,3.6,"Jacksonville, FL 32225 (Regency area)",,Summarize analysis using a wide range of data visualization techniques to determine the types of insights derived from the product and data limitations.
2021 Summer Intern: Data Scientist,Spectrum,3.4,"Stamford, CT",,"Experience with preparing data for visualization and reporting using Excel and Powerpoint.
Basic knowledge of interpretable machine learning techniques."
Data Scientist,SILICON CONSULTING SERVICES,,"New York, NY",,"Minimum of 3 years in a data science engineering role.
Secondary Skills ( Nice to Have) :- Python, R, TensorFlow, scikit-learn, machine learning algorithms,…"
Data Scientist,Visual Connections,4.4,"Chevy Chase, MD",,"They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using…"
USARPAC PAI/OSINT Data Scientist,Huntington Ingalls Industries Inc.,3.8,"Honolulu, HI 96813",,"Proficiency in 2 or more Data Science techniques/methods relative to applications in business analytics, machine learning, artificial intelligence, predictive…"
"Data Scientist - Fort Walton Beach, FL",Intuitive Research and Technology Corporation,4.7,"Fort Walton Beach, FL",,Analyzes customer information needs and available data and then recommend methodologies to augment data as necessary in order to extract knowledge and insights.
Global Markets Data Scientist,UBS,3.8,"New York, NY",,"Experienced in working with large data sets in appropriate technologies (e.g. Hadoop), and in working with data engineers to build good data."
Data Scientist,Mindstrong,,California,,Possess extensive end-to-end project experience using machine learning or deep learning to solve complex real-world problems.
Senior Data Scientist,First American,3.8,"Santa Ana, CA 92707",,"This individual will work with a variety of data assets from multiple sources using a variety of techniques, ranging from simple data aggregation via…"
Data Scientist,Karma Automotive LLC,2.8,"Irvine, CA 92618 (East Industrial Complex area)",,"Create visualizations and reports to show insights obtained from data mining efforts.
Design and build new data set processes for modeling, data mining, and…"
Earth System Modeler and/or Data Scientist,Penn State University,4.3,"University Park, PA",,"We expect the new hires should be able to work on all aspects of center activities, including the core elements required for interdisciplinary projects: setting…"
Data Scientist,Swain Techs,,"Bethesda, MD 20892",,"Benefits Offered: Vision, Medical, Dental, 401K.
Looking for a Data Scientist to help develop an acquisition system that takes full advantage of Artificial…"
Senior Data Scientist,Schneider,3.3,"Green Bay, WI 54313",,Prepare written non-technical reports and presentations to managers and key decision makers indicating solution or range of possible alternatives solution pros…
Programmer/Data Scientist,New York University,4.2,"New York, NY 10012 (Greenwich Village area)",,"Will use modern programming tools to manage multi-terabyte databases, build data pipelines,.
Please send a CV and links to any relevant coding projects,…"
Data Scientist (E-Commerce/Subscription),Scale Media,4.0,"Los Angeles, CA",,"Use data mining and statistics to find patterns within data and assist in turning into actionable insights.
We are looking for someone with a natural ability to…"
Staff Data Scientist - Consumer Product - Metrics Team,Twitter,4.1,"Seattle, WA",,"You will be a key member of the Metrics Data Science team working closely with our partners in engineering, product, design, user research and operations to…"
Principal Data Scientist,"DirecTech Labs, Inc.",,Remote,,"You have 8+ years creating predictive models using advance machine learning techniques.
Analyze all data from all available sources (e.g. behavioral, sales,…"
Principal Data Scientist,CaptionCall,3.6,"Taylorsville, UT 84123","$105,000 - $150,000 a year","Utilize data mining techniques and develop data models to assist in the visualization and interpretation of data.
Four-year degree in a quantitative discipline."
Supply Chain Data Scientist,TCS,3.8,"Atlanta, GA 30336",,Working closely with Customers for developing project plans and ensure delivery consistent with the project estimates provided.
"Data Scientist, Product Analytics",Scaleapi,,"San Francisco, CA",,"Own end-to-end product analytics workflow including formulating success metrics, socializing them across the organization, and creating dashboards/reports."
Senior Data Scientist,Red Lambda,,Remote,,"Ability to use a language like Python or R to work efficiently at scale with large data sets (including exploratory data analysis, statistical analysis, and…"
Data Scientist,Novetta,3.5,"McLean, VA",,"Explores data sets and verifies data quality to gain an understanding of relevant data, then identifies differences in data distribution that could affect…"
Data Scientist,Koddi,,"Ann Arbor, MI",,Provide thought leadership in applying innovative machine learning techniques to solve complex data science problems.
"Senior Data Scientist, Handwriting Recognition",Ancestry,3.8,"Lehi, UT",,"PhD in Computer Science, Statistics, or other data-related field coupled with 2 years industry experience in machine learning and statistical modeling."
Military Data Scientist,Booz Allen Hamilton,3.9,"Fort Bragg, NC",,"You’ll mentor teammates, develop algorithms, write scripts, build predictive analytics, use automation, apply machine learning, and use the right combination of…"
2021 Data Science Internship,WW International,,"San Francisco, CA",,"Receive mentoring from our team of “full-stack” data scientists, and participate in end-to-end data science projects from exploratory data analysis to member…"
Data Scientist,Penn State University,4.3,"University Park, PA",,"Applying data mining and enhancement techniques.
Candidates selected will be subject to a government security investigation."
USARPAC PED PRC DATA SCIENTIST,Huntington Ingalls Industries Inc.,3.8,"Fort Shafter, HI 96858 (Moanalua area)",,"Proficiency in 2 or more Data Science techniques/methods relative to applications in business analytics, machine learning, artificial intelligence, predictive…"
Senior Associate Data Scientist,Amgen,4.1,"Thousand Oaks, CA 91362",,"Associate degree and 6 years of data science, business, statistics, data mining, applied mathematics, business analytics, engineering, computer science or…"
Sr. Data Scientist,Edifecs,3.4,"Bellevue, WA 98004 (Downtown area)",,"Perform collaborative work on data science problems and mentor junior data scientists.
Develop and maintain up-to-date detailed project schedules and work plans…"
Contributor | Data Engineer / Data Scientist,Hyperloop Transportation Technologies,4.3,"Los Angeles, CA",,"Use machine learning to solve modeling and ranking problems across discovery and search.
Knowledge of Machine Learning systems, data mining, search, ranking,…"
Data Scientist - Nationwide Opportunities,"Amazon Web Services, Inc.",3.6,Remote,,"A successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions."
Staff Data Scientist,Proofpoint,3.9,"Sunnyvale, CA 94085",,"Mentor and uplevel junior data scientists.
Experience applying ML algorithms and techniques to living, breathing data."
Senior Data Scientist,Prutech Solutions,3.8,"New York, NY 10007 (Financial District area)","From $120,000 a year","Advanced working knowledge of large data manipulation and data mining.
5 years of hands-on experience with data science and analytics."
Machine Learning Engineer Intern,E Source Companies Llc,,"Boulder, CO 80301",$20 an hour,"Foundational knowledge of statistics and machine learning will be expected.
This may also include variety over data sources, but also tracking shifts in…"
"Data Scientist, Auction and Delivery",Facebook,4.2,"Menlo Park, CA",,"The team is made up of data scientists with a diverse set of backgrounds.
Research applied machine learning questions in our ads system to improve prediction…"
Quantitative Researcher,SEVEN EIGHT CAPITAL,,"New York, NY",,"Strong research skills, preference for research applied to large financial data sets.
A general understanding of optimization theory, linear / non-linear models…"
Staff Data Scientist,Instacart,2.9,"San Francisco, CA",,"Use expertise in causal inference, machine learning, complex systems modeling, behavioral decision theory etc. to shape the future of Instacart."
Senior Data Scientist,KoBold Metals,,Indiana,,KoBold Metals is a mineral exploration company that uses machine learning and other scientific computing techniques to increase the ethical supply of critical…
Sr. Data Scientist (DataLabs),Cardinal Health,3.5,"Dublin, OH 43017",,"Prior data science experience preferred, but willing to consider new data scientists depending on background.
Communicate results with stakeholders, executives,…"
Associate Data Scientist,Genworth,3.7,"Richmond, VA",,"Identify business opportunities and provide recommendations for changes to processes based on trends and data analysis, applying knowledge of claims strategy,…"
Data Scientist - Risk,LSQ,,"Orlando, FL 32801 (Central Business District area)",,"A data science framework for optimal data acquisition, model training and deployment.
A toolkit of modern data science techniques.
This is a full-time position."
Data Quality Scientist,Verana Health,,"San Francisco, CA",,Preemptively identify and troubleshoot technical/clinical/data issues by creating rules for checks and triggers based on expected clinical workflows to…
Data Scientist Manager - Developer and Enterprise Solutions,Twitter,4.1,"San Francisco, CA 94103 (South of Market area)",,"You have 2+ years experience as individual contributor, applying your experience with statistics, machine learning, and data analysis to product design,…"
"Data Scientist, Analytics",Facebook,4.2,"Menlo Park, CA",,"Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with…"
