,title,company,rating,location,salary,summary
2948,Lead Data Scientist,PayPal,3.9,"San Jose, CA 95131 (North San Jose area)",,Identify new risk patterns through data mining • Communicate complex concepts and the results of the analyses in a clear and effective manner through creative…
2949,,Well Woven Inc.,,"New York, NY 10018 (Garment District area)",,"Deliver strategic data-driven insights on high ROI opportunities.
This person should not just be an Excel wizard, but also have experience with client…"
2950,Data Analyst/Scientist- Healthcare,"HCH Enterprises, LLC",3.8,"Cranston, RI 02920",,"Demonstrates deep fluency and experience writing SQL scripts and working with Power BI or relevant data analytics tools.
Power BI: 3 years (Required)."
2951,Data Scientist,Acara Solutions,3.4,"Charlotte, NC",,"Familiarity with various data modeling techniques (linear/logistic regression, ANOVA, ARIMA, Clustering, time series, machine learning)."
2952,JS Data Manipulation + Visualization in Agriculture and Scie...,Our Sci LLC,,Michigan,"$35,000 - $60,000 a year","Experience in data visualization using D3 or related libraries.
We are seeking someone to support front-end development for surveystack.io and to work with…"
2953,Associate Data Scientist,Fifth Third Bank,3.6,"Cincinnati, OH",,"Conducts advanced analytics leveraging predictive modeling, machine learning, simulation, optimization and other techniques to deliver insights or develop…"
2954,"Software Engineer, Machine Learning",GeekSeek,,Remote,$50 - $65 an hour,"Understanding of data structures, data modeling and software architecture.
Develop machine learning applications according to requirements."
2955,Data Scientist @ Gaming Leader,Aquent,4.0,"Redmond, WA",,"Collaborates with database engineers and other scientists to develop, refine, and scale data management and analytics procedures, systems, workflows, best…"
2956,Senior Data Scientist,CyberCoders,3.3,"Chicago, IL 60604 (Loop area)","$110,000 - $125,000 a year","5+ years in data mining, database marketing, marketing analytics, or statistical modeling.
Experience using analytics or data science at an E."
2957,Data Engineer,The Mom Project,,"Sunnyvale, CA",$97.75 an hour,"Develops technical tools and programming that leverage artificial intelligence, machine learning and big-data techniques to cleanse, organize and transform data…"
2958,Data Scientist/Engineer,Seamless AI,,"Columbus, OH 43081",,"Work together with engineers, technical project managers, and subject matter experts, to gather requirements and improve our customer experience using machine…"
2959,Property & Casualty Insurtech Data Scientist - PR11477,Pryor Executive Search,,"New York, NY",,"Property & Casualty Insurtech Data Scientist opening in New York City.
Use Machine Learning (ML) and Artificial Intelligence (AI) for P&C insurance pricing…"
2960,Senior Data Scientist,Cognizant Technology Solutions,3.9,"Collegeville, PA 19426",,"Data, identifying gaps, issues, patterns and trends Analyze.
- Utilise a scientific and pragmatic approach.
Data processing systems and Data Warehouse."
2961,Research Data Scientist,Intelligent Automation,4.0,"Rockville, MD",,"IAI is looking for a talented research scientist to contribute to research and development efforts in machine learning, graph theory, and scientific software…"
2962,Senior Data Scientist - Permanent Full Time,Veritas Partners,,"Cockeysville, MD 21030","$131,000 - $150,000 a year","Extract meaningful statistics and other data characteristics using time series forecasting as well as a variety of approaches including statistical analysis,…"
2963,Data Scientist II - Permanent Full Time Opportunity,Veritas Partners,,"Cockeysville, MD 21030","$100,000 - $135,000 a year","3+ years of data taxonomy, BI, data migration or data lake integration experience.
Perform machine learning for enriching content.
Temporarily due to COVID-19."
2964,Senior Data Analyst - Healthcare,BioSource Recruiters,,"Des Moines, IA",," Provide advanced analytical support for business operations in all or some of the following areas: claims, provider data, member data, clinical data, HEDIS,…"
2965,Senior Data Analyst,Calculated Hire,,"Weehawken, NJ 07086",$30 - $35 an hour,"3 years of professional experience analyzing, evaluating, and interpreting complex data; innate intellectual curiosity.
Must reside in Greater New York area ."
2966,Senior Data Scientist,CyberCoders,3.3,"Alexandria, VA 22302 (Fairlington-Bradlee area)",,"Contribute to the development of data pipelines.
5+ years of experience in data science.
Nice to have: experience with Spark or other big data framework."
2967,Machine Learning Engineer,"Lucas Associates, Inc.",3.8,"Coconut Creek, FL 33073",,"Build an API monitoring solution to gauge performance and data capture.
Ability to squeeze more performance and data out of APIs.
Deploying to Azure via Docker."
2968,Data Scientist,Money Mart Financial Services,2.4,"Malvern, PA 19355",,"Minimum 5 years of experience using SQL, R, Python, Xeno, MatLab, or similar data-mining and analytics applications.
Proficient in Excel, Word, and PowerPoint."
2969,Statistical Analyst,Hire Quest Employment Services,,"Edwardsville, IL 62025",$20 - $23 an hour,"Extensive Data Entry, Excel and in depth spreadsheet knowledge is a must!!"
2970,,Insight Global,4.0,"Lake Zurich, IL",$20 - $25 an hour,Ability to interpret large amounts of safety and quality-related data and recognize/identify potential health hazards (signal detection).
2971,Data Scientist,Randstad Professionals,3.7,"Cockeysville, MD 21030","$120,000 - $145,000 a year","At least 3 years of experience with data migration, BI, data taxonomy, or data lake integration.
Conducting machine learning to improve content."
2972,Risk Decision Scientist,PayPal,3.9,"San Jose, CA 95131 (North San Jose area)",,"Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and…"
2973,Support Scientist Ocean Data Assimilation (UFS),IMSG/NOAA,,"College Park, MD",,The candidate will work with EMC scientists and external collaborators to develop the marine and coupled data assimilation capabilities for use in the UFS.
2974,Data Scientist/Machine Learning Engineer (Temp-to-Perm),Lenox Executive Search,,"Cambridge, MA 02139 (Cambridgeport area)",,"We are looking for smart, data driven, creative data scientists and machine learning engineers capable for applying artificial intelligence and machine learning…"
2975,Data Scientist - Oncology Infusion Program (Information Serv...,"Jefferson - Center City, Philadelphia, PA",3.9,"Philadelphia, PA 19107 (City Center East area)",,"Also provides analytic consulting support outcome and quality research, population health, clinical and academic research, internal clinical and operational…"
2976,Data Scientist-Journeyman,Perspecta,3.3,"Washington, DC 20022",,"Data science and data engineering support is needed to help manage and execute the ingest (extract, transform and load (ETL) operations), parsing, data…"
2977,Principal Data Scientist,The Finders,,"Scottsdale, AZ 85255 (North Scottsdale area)",,"Passion for work on advanced analytics areas (i.e. deep learning and complex statistical data analysis).
5+ years of relevant work experience in data analysis…"
2978,Business Data Analyst - Senior - 297636,Procom,3.6,"Tampa, FL",,"Ensure project deliverables are documented according to required procedures and standards.
Understanding of the project life cycle, both waterfall and agile…"
2979,,National Security Agency,4.2,"Fort Meade, MD","$72,351 - $90,157 a year","Entry is with a Bachelor's degree plus 3 years of relevant experience or a Master's degree plus 1 year of relevant experience, or a Doctoral degree and no…"
2980,Senior Data Scientist (Remote-friendly),Noom Inc.,4.1,Remote,,You are comfortable with at least “medium data” technologies and how to transcend the “memory bound” nature of most analytics tools.
2981,Deep Learning Algorithm Scientist,VIDA,,"Minneapolis, MN",,Defines data requirements for training and testing of machine learning methods and works with the broader team to amass data from internal and external sources.
2982,"Data Scientist, Product Analytics",Facebook,4.2,Remote,,"Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with…"
2983,Software Developer / AI Developer,"Open Systems Technologies, Inc.",4.1,"Charlotte, NC 28202 (Downtown Charlotte area)",,"3+ years’ experience developing large scale, highly available distributed systems.
As a member of the A.I. team you will take an active role in the definition…"
2984,Data Scientist,Staffing Resource Group,,"McLean, VA 22102","$150,000 - $160,000 a year","Technical expertise regarding data models, database design and development, data mining and segmentation techniques.
Machine Learning: 1 year (Preferred)."
2985,Urgent! Data Scientist (Biotech/ Pharma),Kelly,3.9,"Cambridge, MA 02139 (Cambridgeport area)",$45 - $51 an hour,"Designed interactive dashboards for various stakeholders using AWS Quicksight exposing key parameters of our machine learning training datasets, data pipelines,…"
2986,Associate Data Scientist,Fifth Third Bank,3.6,"Cincinnati, OH",,"Conducts advanced analytics leveraging predictive modeling, machine learning, simulation, optimization and other techniques to deliver insights or develop…"
2987,NLP Data Engineer,Harnham,4.6,"New York, NY","$130,000 a year","Querying the DB for data analytics team using SQL.
Commercial experience designing and building data pipelines.
THE ROLE - NLP Data Engineer."
2988,Data Engineer,The Mom Project,,"Sunnyvale, CA",$97.75 an hour,"Develops technical tools and programming that leverage artificial intelligence, machine learning and big-data techniques to cleanse, organize and transform data…"
2989,Architect - Data Scientist (Sr.),"Quadrant, Inc.",3.9,"Springfield, VA 22153",,Experience in developing machine learning models and applying advanced analytics solutions to solve complex business problems.
2990,Data Scientist-Junior,Perspecta,3.3,"Washington, DC 20022",,"Data science and data engineering support is needed to help manage and execute the ingest (extract, transform and load (ETL) operations), parsing, data…"
2991,Data Scientist,Randstad Professionals,3.7,"Cockeysville, MD 21030","$120,000 - $145,000 a year","At least 3 years of experience with data migration, BI, data taxonomy, or data lake integration.
Conducting machine learning to improve content."
2992,Data Scientist - Defense & Intelligence,Elder Research Inc,,"Arlington, VA 22201 (Colonial Village area)",,"Trying different predictive modeling approaches to identify the best fit for a given set of business understanding, available data, and project timeline."
2993,Senior Data Scientist,Memorial Sloan-Kettering Cancer Center,4.2,"New York, NY 10017 (Midtown area)",,"We're looking for a thoughtful, out-of-the-box developer who is no stranger to leveraging advanced NLP techniques for achieving operational and business needs."
2994,Associate Data Scientist,Fifth Third Bank,3.6,"Cincinnati, OH",,"Conducts advanced analytics leveraging predictive modeling, machine learning, simulation, optimization and other techniques to deliver insights or develop…"
2995,Machine Learning Intelligent Mobility System Engineer,"Artizen, Inc.",,"Mountain View, CA 94043",$70 - $80 an hour,"Strong Machine Learning background with deep understanding of different types of machine learning algorithms (e.g., CNN, RNN, LSTM and Reinforcement Learning)."
2996,"Software Engineer, Machine Learning",GeekSeek,,Remote,$50 - $65 an hour,"Understanding of data structures, data modeling and software architecture.
Develop machine learning applications according to requirements."
2997,ML ENGINEER - 6 MONTH CONTRACT,Harnham,4.6,"San Francisco, CA",$100 an hour,"Automate manual data flows for repeated use and scalability within Spark.
This role focuses on design, creating, coding, and testing models ."
2998,NLP Data Engineer,Harnham,4.6,"New York, NY","$130,000 a year","Querying the DB for data analytics team using SQL.
Commercial experience designing and building data pipelines.
THE ROLE - NLP Data Engineer."
2999,Senior Data Analyst - Healthcare,BioSource Recruiters,,"Des Moines, IA",," Provide advanced analytical support for business operations in all or some of the following areas: claims, provider data, member data, clinical data, HEDIS,…"
3000,,Acara Solutions,3.4,"Chicago, IL",,"Experience in Regression models, time series models, decision trees, random forests, and text analytics using additional support models and methods to analyze…"
3001,Applied Scientist,Robert Half,3.9,"Seattle, WA 98121 (Belltown area)",,"BS or advanced degree (Microsoft or PhD preferred) in computational linguistics, machine learning, statistics, computer science, engineering, or related…"
3002,Data Scientist-Junior,Perspecta,3.3,"Washington, DC 20022",,"Data science and data engineering support is needed to help manage and execute the ingest (extract, transform and load (ETL) operations), parsing, data…"
3003,Statistical Analyst,Hire Quest Employment Services,,"Edwardsville, IL 62025",$20 - $23 an hour,"Extensive Data Entry, Excel and in depth spreadsheet knowledge is a must!!"
3004,Senior Data Scientist,Cognizant Technology Solutions,3.9,"Collegeville, PA 19426",,"Data, identifying gaps, issues, patterns and trends Analyze.
- Utilise a scientific and pragmatic approach.
Data processing systems and Data Warehouse."
3005,Data Scientist,Randstad Professionals,3.7,"Cockeysville, MD 21030","$120,000 - $145,000 a year","At least 3 years of experience with data migration, BI, data taxonomy, or data lake integration.
Conducting machine learning to improve content."
3006,Senior Data Analyst,Brinks Home Security,3.4,"Farmers Branch, TX",,"Utilize data visualization tools to translate complicated data concepts into actionable insights.
Fulfill ad-hoc analytics requests and provide the operations…"
3007,Principal Data Scientist,The Finders,,"Scottsdale, AZ 85255 (North Scottsdale area)",,"Passion for work on advanced analytics areas (i.e. deep learning and complex statistical data analysis).
5+ years of relevant work experience in data analysis…"
3008,Data Scientist II - Permanent Full Time Opportunity,Veritas Partners,,"Cockeysville, MD 21030","$100,000 - $135,000 a year","3+ years of data taxonomy, BI, data migration or data lake integration experience.
Perform machine learning for enriching content.
Temporarily due to COVID-19."
3009,,Myticas Consulting,,"Chicago, IL",,"Experience with data structures, data modeling, and model evaluation.
Experience with standard ML algorithms covering supervised-learning, unsupervised-learning…"
3010,Data Scientist @ Gaming Leader,Aquent,4.0,"Redmond, WA",,"Collaborates with database engineers and other scientists to develop, refine, and scale data management and analytics procedures, systems, workflows, best…"
3011,Data Scientist/Data Analyst,Kaygen,3.2,"Costa Mesa, CA 92626",$70 - $75 an hour,"Holistic and end to end approach to data, including querying, aggregation, deep analysis, visualization and models; communicate and present findings/actionable…"
3012,Senior Financial Data Analyst - SQL / Power BI,Vaco,3.7,"Louisville, KY",,"As a Financial Analyst, you will conduct analysis of divisional and department performance as well as prepare any special financial studies that may be needed."
3013,Data Scientist/Engineer,Seamless AI,,"Columbus, OH 43081",,"Work together with engineers, technical project managers, and subject matter experts, to gather requirements and improve our customer experience using machine…"
3014,Data Scientist-Junior,Perspecta,3.3,"Washington, DC 20022",,"Data science and data engineering support is needed to help manage and execute the ingest (extract, transform and load (ETL) operations), parsing, data…"
3015,Property & Casualty Insurtech Data Scientist - PR11477,Pryor Executive Search,,"New York, NY",,"Property & Casualty Insurtech Data Scientist opening in New York City.
Use Machine Learning (ML) and Artificial Intelligence (AI) for P&C insurance pricing…"
3016,Data Scientist,Money Mart Financial Services,2.4,"Malvern, PA 19355",,"Minimum 5 years of experience using SQL, R, Python, Xeno, MatLab, or similar data-mining and analytics applications.
Proficient in Excel, Word, and PowerPoint."
3017,Statistical Analyst,Hire Quest Employment Services,,"Edwardsville, IL 62025",$20 - $23 an hour,"Extensive Data Entry, Excel and in depth spreadsheet knowledge is a must!!"
3018,Data Scientist,Insight Global,4.0,"Lake Zurich, IL",$20 - $25 an hour,Ability to interpret large amounts of safety and quality-related data and recognize/identify potential health hazards (signal detection).
3019,Data Scientist,Randstad Professionals,3.7,"Cockeysville, MD 21030","$120,000 - $145,000 a year","At least 3 years of experience with data migration, BI, data taxonomy, or data lake integration.
Conducting machine learning to improve content."
3020,Research Data Scientist,Intelligent Automation,4.0,"Rockville, MD",,"IAI is looking for a talented research scientist to contribute to research and development efforts in machine learning, graph theory, and scientific software…"
3021,Data Scientist/Machine Learning Engineer (Temp-to-Perm),Lenox Executive Search,,"Cambridge, MA 02139 (Cambridgeport area)",,"We are looking for smart, data driven, creative data scientists and machine learning engineers capable for applying artificial intelligence and machine learning…"
3022,Senior Data Scientist - Permanent Full Time,Veritas Partners,,"Cockeysville, MD 21030","$131,000 - $150,000 a year","Extract meaningful statistics and other data characteristics using time series forecasting as well as a variety of approaches including statistical analysis,…"
3023,Data Scientist II - Permanent Full Time Opportunity,Veritas Partners,,"Cockeysville, MD 21030","$100,000 - $135,000 a year","3+ years of data taxonomy, BI, data migration or data lake integration experience.
Perform machine learning for enriching content.
Temporarily due to COVID-19."
3024,,"ADNET Systems, Inc.",4.0,"Greenbelt, MD 20771",,"Experience visualizing scientific data or presentation of data for scientific purposes.
Position responsibilities will include (1) developing an understanding…"
3025,Data Scientist,Insight Global,4.0,"Lake Zurich, IL",$20 - $25 an hour,Ability to interpret large amounts of safety and quality-related data and recognize/identify potential health hazards (signal detection).
3026,Data Scientist II - Permanent Full Time Opportunity,Veritas Partners,,"Cockeysville, MD 21030","$100,000 - $135,000 a year","3+ years of data taxonomy, BI, data migration or data lake integration experience.
Perform machine learning for enriching content.
Temporarily due to COVID-19."
3027,Risk Decision Scientist,PayPal,3.9,"San Jose, CA 95131 (North San Jose area)",,"Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and…"
3028,Data Scientist,Randstad Professionals,3.7,"Cockeysville, MD 21030","$120,000 - $145,000 a year","At least 3 years of experience with data migration, BI, data taxonomy, or data lake integration.
Conducting machine learning to improve content."
3029,Property & Casualty Insurtech Data Scientist - PR11477,Pryor Executive Search,,"New York, NY",,"Property & Casualty Insurtech Data Scientist opening in New York City.
Use Machine Learning (ML) and Artificial Intelligence (AI) for P&C insurance pricing…"
3030,Senior Data Scientist - Permanent Full Time,Veritas Partners,,"Cockeysville, MD 21030","$131,000 - $150,000 a year","Extract meaningful statistics and other data characteristics using time series forecasting as well as a variety of approaches including statistical analysis,…"
3031,Data Scientist @ Gaming Leader,Aquent,4.0,"Redmond, WA",,"Collaborates with database engineers and other scientists to develop, refine, and scale data management and analytics procedures, systems, workflows, best…"
3032,Principal Data Scientist,The Finders,,"Scottsdale, AZ 85255 (North Scottsdale area)",,"Passion for work on advanced analytics areas (i.e. deep learning and complex statistical data analysis).
5+ years of relevant work experience in data analysis…"
3033,Support Scientist Ocean Data Assimilation (UFS),IMSG/NOAA,,"College Park, MD",,The candidate will work with EMC scientists and external collaborators to develop the marine and coupled data assimilation capabilities for use in the UFS.
3034,"Sr. Analyst, Data Science for Payments",PayPal,3.9,"San Jose, CA 95131 (North San Jose area)",,"3+ years of relevant work experience in analyzing large, multi-dimensional data sets and synthesizing data insights into actionable recommendations."
3035,Statistical Analyst,Hire Quest Employment Services,,"Edwardsville, IL 62025",$20 - $23 an hour,"Extensive Data Entry, Excel and in depth spreadsheet knowledge is a must!!"
3036,Data Science Consultant,Tailored Management,3.9,"St. Louis, MO 63121",$44 - $72 an hour,"Responsible for the extraction and analysis of health care information regarding network utilization, cost containment and clinical quality information."
3037,Sr. Data Analyst,Insight Global,4.0,"Franklin Lakes, NJ",$40 - $45 an hour,"General understanding of commercial operations management and customer master data.
Drive analytic and reporting solutions for customer data process efficiency."
3038,Sr. Machine Learning Scientist,"Technosphere, Inc.",4.3,"Tampa, FL 33647 (West Meadows area)",,Related keywords: machine learning ML artificial intelligence python pytorch tensorflow tensor flow deep learning scientist specialist analyst senior data…
3039,Machine Learning Intelligent Mobility System Engineer,"Artizen, Inc.",,"Mountain View, CA 94043",$70 - $80 an hour,"Strong Machine Learning background with deep understanding of different types of machine learning algorithms (e.g., CNN, RNN, LSTM and Reinforcement Learning)."
3040,,The Mom Project,,"Sunnyvale, CA",$97.75 an hour,"Develops technical tools and programming that leverage artificial intelligence, machine learning and big-data techniques to cleanse, organize and transform data…"
3041,Data Scientist/Data Analyst,Kaygen,3.2,"Costa Mesa, CA 92626",$70 - $75 an hour,"Holistic and end to end approach to data, including querying, aggregation, deep analysis, visualization and models; communicate and present findings/actionable…"
3042,Architect - Data Scientist (Sr.),"Quadrant, Inc.",3.9,"Springfield, VA 22153",,Experience in developing machine learning models and applying advanced analytics solutions to solve complex business problems.
3043,Machine Learning Engineer,Olive,3.3,"Columbus, OH 43215 (Downtown area)",,"The ideal candidate understands machine learning as well as software development best practices— from collecting and preprocessing data for training, validating…"
3044,ML ENGINEER - 6 MONTH CONTRACT,Harnham,4.6,"San Francisco, CA",$100 an hour,"Automate manual data flows for repeated use and scalability within Spark.
This role focuses on design, creating, coding, and testing models ."
3045,Machine Learning Engineer - Computer Vision,CyberCoders,3.3,"Denver, CO 80110",,"Machine Learning Engineer - Computer Vision.
Position: Machine Learning Engineer with Computer Vision experience.
Develop, test, and update ML algorithms."
3046,Lead Data Scientist,PayPal,3.9,"San Jose, CA 95131 (North San Jose area)",,Identify new risk patterns through data mining • Communicate complex concepts and the results of the analyses in a clear and effective manner through creative…
3047,Risk Decision Scientist,PayPal,3.9,"San Jose, CA 95131 (North San Jose area)",,"Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and…"
3048,Data Scientist,Randstad Professionals,3.7,"Cockeysville, MD 21030","$120,000 - $145,000 a year","At least 3 years of experience with data migration, BI, data taxonomy, or data lake integration.
Conducting machine learning to improve content."
3049,Data Scientist @ Gaming Leader,Aquent,4.0,"Redmond, WA",,"Collaborates with database engineers and other scientists to develop, refine, and scale data management and analytics procedures, systems, workflows, best…"
3050,Support Scientist Ocean Data Assimilation (UFS),IMSG/NOAA,,"College Park, MD",,The candidate will work with EMC scientists and external collaborators to develop the marine and coupled data assimilation capabilities for use in the UFS.
3051,"Sr. Analyst, Data Science for Payments",PayPal,3.9,"San Jose, CA 95131 (North San Jose area)",,"3+ years of relevant work experience in analyzing large, multi-dimensional data sets and synthesizing data insights into actionable recommendations."
3052,Statistical Analyst,Hire Quest Employment Services,,"Edwardsville, IL 62025",$20 - $23 an hour,"Extensive Data Entry, Excel and in depth spreadsheet knowledge is a must!!"
3053,Sr. Machine Learning Scientist,"Technosphere, Inc.",4.3,"Tampa, FL 33647 (West Meadows area)",,Related keywords: machine learning ML artificial intelligence python pytorch tensorflow tensor flow deep learning scientist specialist analyst senior data…
3054,,Acara Solutions,3.4,"Charlotte, NC",,"Familiarity with various data modeling techniques (linear/logistic regression, ANOVA, ARIMA, Clustering, time series, machine learning)."
3055,Data Scientist,Redstone Federal Credit Union,4.4,"Huntsville, AL",,"5+ years' responsible business domain experience in applied machine learning and decision optimization.
Data scientist: 5 years (Preferred)."
3056,NLP Data Engineer,Harnham,4.6,"New York, NY","$130,000 a year","Querying the DB for data analytics team using SQL.
Commercial experience designing and building data pipelines.
THE ROLE - NLP Data Engineer."
3057,Senior Data Scientist,CyberCoders,3.3,"Buffalo Grove, IL 60089","$110,000 - $130,000 a year","5+ years in data mining, database marketing, marketing analytics, or statistical modeling.
Experience using analytics or data science at an E-commerce or…"
3058,Data Scientist/Data Analyst,Kaygen,3.2,"Costa Mesa, CA 92626",$70 - $75 an hour,"Holistic and end to end approach to data, including querying, aggregation, deep analysis, visualization and models; communicate and present findings/actionable…"
3059,Senior Data Analyst - Healthcare,BioSource Recruiters,,"Des Moines, IA",," Provide advanced analytical support for business operations in all or some of the following areas: claims, provider data, member data, clinical data, HEDIS,…"
3060,Senior Financial Data Analyst - SQL / Power BI,Vaco,3.7,"Louisville, KY",,"As a Financial Analyst, you will conduct analysis of divisional and department performance as well as prepare any special financial studies that may be needed."
3061,Architect - Data Scientist (Sr.),"Quadrant, Inc.",3.9,"Springfield, VA 22153",,Experience in developing machine learning models and applying advanced analytics solutions to solve complex business problems.
3062,Data Scientist/Engineer,Seamless AI,,"Columbus, OH 43081",,"Work together with engineers, technical project managers, and subject matter experts, to gather requirements and improve our customer experience using machine…"
3063,Data Scientist/SR Analyst- Marketing,Acara Solutions,3.4,"Chicago, IL",,"Experience in Regression models, time series models, decision trees, random forests, and text analytics using additional support models and methods to analyze…"
3064,Applied Scientist,Robert Half,3.9,"Seattle, WA 98121 (Belltown area)",,"BS or advanced degree (Microsoft or PhD preferred) in computational linguistics, machine learning, statistics, computer science, engineering, or related…"
3065,Property & Casualty Insurtech Data Scientist - PR11477,Pryor Executive Search,,"New York, NY",,"Property & Casualty Insurtech Data Scientist opening in New York City.
Use Machine Learning (ML) and Artificial Intelligence (AI) for P&C insurance pricing…"
3066,Data Scientist,Money Mart Financial Services,2.4,"Malvern, PA 19355",,"Minimum 5 years of experience using SQL, R, Python, Xeno, MatLab, or similar data-mining and analytics applications.
Proficient in Excel, Word, and PowerPoint."
3067,Statistical Analyst,Hire Quest Employment Services,,"Edwardsville, IL 62025",$20 - $23 an hour,"Extensive Data Entry, Excel and in depth spreadsheet knowledge is a must!!"
3068,Data Scientist II - Permanent Full Time Opportunity,Veritas Partners,,"Cockeysville, MD 21030","$100,000 - $135,000 a year","3+ years of data taxonomy, BI, data migration or data lake integration experience.
Perform machine learning for enriching content.
Temporarily due to COVID-19."
3069,,Acara Solutions,3.4,"Charlotte, NC",,"Familiarity with various data modeling techniques (linear/logistic regression, ANOVA, ARIMA, Clustering, time series, machine learning)."
3070,JS Data Manipulation + Visualization in Agriculture and Scie...,Our Sci LLC,,Michigan,"$35,000 - $60,000 a year","Experience in data visualization using D3 or related libraries.
We are seeking someone to support front-end development for surveystack.io and to work with…"
3071,NLP Data Engineer,Harnham,4.6,"New York, NY","$130,000 a year","Querying the DB for data analytics team using SQL.
Commercial experience designing and building data pipelines.
THE ROLE - NLP Data Engineer."
3072,BHJOB15656_15411 - Machine Learning (ML) and Data Science En...,Myticas Consulting,,"Chicago, IL",,"Experience with data structures, data modeling, and model evaluation.
Experience with standard ML algorithms covering supervised-learning, unsupervised-learning…"
3073,Data Engineer,Acara Solutions,3.4,"Sunnyvale, CA",,"Develops technical tools and programming that leverage artificial intelligence, machine learning and big-data techniques to cleanse, organize and transform data…"
3074,Data Scientist @ Gaming Leader,Aquent,4.0,"Redmond, WA",,"Collaborates with database engineers and other scientists to develop, refine, and scale data management and analytics procedures, systems, workflows, best…"
3075,Data Scientist/Data Analyst,Kaygen,3.2,"Costa Mesa, CA 92626",$70 - $75 an hour,"Holistic and end to end approach to data, including querying, aggregation, deep analysis, visualization and models; communicate and present findings/actionable…"
3076,Machine Learning Engineer,"Lucas Associates, Inc.",3.8,"Coconut Creek, FL 33073",,"Build an API monitoring solution to gauge performance and data capture.
Ability to squeeze more performance and data out of APIs.
Deploying to Azure via Docker."
3077,Property & Casualty Insurtech Data Scientist - PR11477,Pryor Executive Search,,"New York, NY",,"Property & Casualty Insurtech Data Scientist opening in New York City.
Use Machine Learning (ML) and Artificial Intelligence (AI) for P&C insurance pricing…"
3078,Data Scientist,Randstad Professionals,3.7,"Cockeysville, MD 21030","$120,000 - $145,000 a year","At least 3 years of experience with data migration, BI, data taxonomy, or data lake integration.
Conducting machine learning to improve content."
3079,Property & Casualty Insurance Data Scientist - PR11478,Pryor Executive Search,,"New York, NY",,"Property & Casualty Insurance Data Scientist opening in New York City.
Use Python to design Machine Learning (ML) and Artificial Intelligence (AI) models for P…"
3080,Data Scientist - Oncology Infusion Program (Information Serv...,"Jefferson - Center City, Philadelphia, PA",3.9,"Philadelphia, PA 19107 (City Center East area)",,"Also provides analytic consulting support outcome and quality research, population health, clinical and academic research, internal clinical and operational…"
3081,Data Scientist - Defense & Intelligence,Elder Research Inc,,"Arlington, VA 22201 (Colonial Village area)",,"Trying different predictive modeling approaches to identify the best fit for a given set of business understanding, available data, and project timeline."
3082,Principal Data Scientist,The Finders,,"Scottsdale, AZ 85255 (North Scottsdale area)",,"Passion for work on advanced analytics areas (i.e. deep learning and complex statistical data analysis).
5+ years of relevant work experience in data analysis…"
3083,Data Science Consultant,Tailored Management,3.9,"St. Louis, MO 63121",$44 - $72 an hour,"Responsible for the extraction and analysis of health care information regarding network utilization, cost containment and clinical quality information."
3084,Data Scientist,Redstone Federal Credit Union,4.4,"Huntsville, AL",,"5+ years' responsible business domain experience in applied machine learning and decision optimization.
Data scientist: 5 years (Preferred)."
3085,Machine Learning Intelligent Mobility System Engineer,"Artizen, Inc.",,"Mountain View, CA 94043",$70 - $80 an hour,"Strong Machine Learning background with deep understanding of different types of machine learning algorithms (e.g., CNN, RNN, LSTM and Reinforcement Learning)."
3086,,OpTech LLC,4.0,"Southfield, MI 48075",$37 - $44 an hour,"Experience with health insurance claims and enrollment.
Top 3 Required Skills/Experience – The most important must-have skills.
4 Years Of SAS experience."
3087,Data Scientist III,Ascent Services Group,3.8,"Broomfield, CO 80021",,"Data scientists use data and analytical ability to find and interpret rich data sources; manage large amounts of data despite hardware, software, and bandwidth…"
3088,Lead Data Scientist,Access Staffing,3.8,"New York, NY 10017 (Murray Hill area)",,"Familiarity with and ability to apply the following concepts to solve data problems; natural language processing, machine learning, conceptual modeling,…"
3089,Data Engineer,Acara Solutions,3.4,"Sunnyvale, CA",,"Develops technical tools and programming that leverage artificial intelligence, machine learning and big-data techniques to cleanse, organize and transform data…"
3090,Data Scientist/Data Analyst,Kaygen,3.2,"Costa Mesa, CA 92626",$70 - $75 an hour,"Holistic and end to end approach to data, including querying, aggregation, deep analysis, visualization and models; communicate and present findings/actionable…"
3091,Senior Data Analyst - Healthcare,BioSource Recruiters,,"Des Moines, IA",," Provide advanced analytical support for business operations in all or some of the following areas: claims, provider data, member data, clinical data, HEDIS,…"
3092,Senior Data Scientist,CyberCoders,3.3,"Chicago, IL 60604 (Loop area)","$110,000 - $125,000 a year","5+ years in data mining, database marketing, marketing analytics, or statistical modeling.
Experience using analytics or data science at an E."
3093,Data Scientist,Money Mart Financial Services,2.4,"Malvern, PA 19355",,"Minimum 5 years of experience using SQL, R, Python, Xeno, MatLab, or similar data-mining and analytics applications.
Proficient in Excel, Word, and PowerPoint."
3094,Risk Decision Scientist,PayPal,3.9,"San Jose, CA 95131 (North San Jose area)",,"Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and…"
